3|255;255;255|0;0;0|0;0|680;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Black_1.jpg|
4|255;255;255|0;0;0|0;0|330;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Black_2.jpg|
4|255;255;255|0;0;0|350;0|330;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Black_2.jpg|
4|255;255;255|5;0;1|330;0|20;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Black_3.jpg|
1|255;255;255|5;1;0|0;0|340;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Black_4.jpg|
1|255;255;255|5;1;0|340;0|340;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Black_5.jpg|
3|0;0;0|171;187;194|0;0|680;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Gray_1.jpg|
2|0;0;0|121;120;122|0;0|250;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Gray_2.jpg|
2|0;0;0|121;120;122|250;0|430;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Gray_5.jpg|
3|0;0;0|121;120;122|0;0|680;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Gray_2.jpg|
3|0;0;0|247;247;247|0;0|680;142|D:\ABITANT\Soft\Watermark\Watermark\Image_Learn\1200x960\Gray_3.jpg|
